corpus	piece	phrase_id	column	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209
ABC	n01op18-1_01	1	chord	I	V7	V(6)	V(64)	ii6	ii6(11#7b6)	#viio7/ii	#viio7(4)/ii	#viio7/vi	#viio7(6)/vi	IV6	I	V	I
ABC	n01op18-1_01	2	chord	I	V7	ii6	ii6(9#4)	V7/IV	V7(4)/IV	V7	V7(4)	viio7/V	viio7(b4)/V	I
ABC	n01op18-1_01	6	chord	I	V7	V(b64)	viio7/V	i	viio7	@none
ABC	n01op18-1_01	7	chord	I	V7	V	ii6	viio	#viio65/ii	V43	I
ABC	n01op18-1_01	8	chord	I	V7	V(64)	V65/V	I	viio	viio6	I6	IV	I	viio	V64	I6
ABC	n01op18-1_01	9	chord	I	I	I	V7	ii	vi64	Ger6/vi	viio7/V	bVI	i	viio	viio6	I6	IV	I	viio	viio6	I6
ABC	n01op18-1_01	15	chord	I	V7	V	ii	ii6	#viio65/ii	#viio6/ii	V43	I
ABC	n01op18-1_01	16	chord	I	V7	V(64)	IV	I	viio	viio6	I6	IV	I	V65	V64
ABC	n01op18-1_01	17	chord	I	V7	ii	V(64)/vi	Ger6/vi	viio7/V	VI	i	viio	viio6	I6	IV	I	viio	viio6
ABC	n01op18-1_01	18	chord	I	V7	V(64)	viio7/V	viio7/IV	ii	#viio7/ii	#viio65/vi	vi	#viio7/vi	V	V65	V2	I	V7	V7/V	V65/V	V43/V	viio	IV6	V	V6/V	iii	V7/V	V	ii	V/ii	bVII	IV	I	I
ABC	n01op18-1_01	19	chord	I	I	I
ABC	n01op18-1_02	23	chord	I	V7	V7(4)	Ger6	bII6	bVI	V7	ii	vi	V/vi	ii	IV	I	V65	I6	V2(9)	I	V7	I	V65	I6	V2(9)	I	V7	I	V7	V65	I6	V2	V	Ger6	iv6
