chord	('medtner_tales', 'minor')	('beethoven_piano_sonatas', 'major')	('ABC', 'major')	('mendelssohn_quartets', 'major')	('grieg_lyric_pieces', 'major')	('medtner_tales', 'major')	('mendelssohn_quartets', 'minor')	('liszt_pelerinage', 'major')	('bach_en_fr_suites', 'minor')	('ABC', 'minor')	('grieg_lyric_pieces', 'minor')	('beethoven_piano_sonatas', 'minor')	('bartok_bagatelles', 'major')	('chopin_mazurkas', 'major')	('scarlatti_sonatas', 'major')	('scarlatti_sonatas', 'minor')	('chopin_mazurkas', 'minor')	('mozart_piano_sonatas', 'major')	('bach_en_fr_suites', 'major')	('kleine_geistliche_konzerte', 'minor')	('rachmaninoff_piano', 'minor')	('liszt_pelerinage', 'minor')	('frescobaldi_fiori_musicali', 'minor')	('corelli', 'minor')	('wagner_overtures', 'major')	('bach_solo', 'minor')	('bach_solo', 'major')	('corelli', 'major')	('kozeluh_sonatas', 'major')	('kleine_geistliche_konzerte', 'major')	('peri_euridice', 'major')	('debussy_suite_bergamasque', 'minor')	('wf_bach_sonatas', 'major')	('c_schumann_lieder', 'major')	('jc_bach_sonatas', 'major')	('bartok_bagatelles', 'minor')	('ravel_piano', 'major')	('schulhoff_suite_dansante_en_jazz', 'major')	('frescobaldi_fiori_musicali', 'major')	('tchaikovsky_seasons', 'major')	('schubert_winterreise', 'minor')	('kozeluh_sonatas', 'minor')	('schubert_winterreise', 'major')	('couperin_concerts', 'minor')	('mozart_piano_sonatas', 'minor')	('monteverdi_madrigals', 'minor')	('mahler_kindertotenlieder', 'minor')	('jc_bach_sonatas', 'minor')	('wagner_overtures', 'minor')	('peri_euridice', 'minor')	('dvorak_silhouettes', 'major')	('schumann_liederkreis', 'major')	('tchaikovsky_seasons', 'minor')	('wf_bach_sonatas', 'minor')	('couperin_clavecin', 'minor')	('couperin_concerts', 'major')	('pergolesi_stabat_mater', 'minor')	('schumann_kinderszenen', 'major')	('monteverdi_madrigals', 'major')	('pleyel_quartets', 'major')	('couperin_clavecin', 'major')	('pleyel_quartets', 'minor')	('debussy_suite_bergamasque', 'major')	('mahler_kindertotenlieder', 'major')	('ravel_piano', 'minor')	('sweelinck_keyboard', 'minor')	('rachmaninoff_piano', 'major')	('schumann_liederkreis', 'minor')	('dvorak_silhouettes', 'minor')	('poulenc_mouvements_perpetuels', 'major')	('schulhoff_suite_dansante_en_jazz', 'minor')	('pergolesi_stabat_mater', 'major')	('schumann_kinderszenen', 'minor')	('c_schumann_lieder', 'minor')	('handel_keyboard', 'major')	('poulenc_mouvements_perpetuels', 'minor')	sum
V/iv	True	True	True	False	False	False	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	False	True	True	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	True	True	False	True	True	True	True	True	True	True	False	False	True	False	True	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	34
#viio6	True	False	False	False	False	False	True	False	True	True	True	True	False	False	True	True	True	False	False	True	False	True	True	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	True	False	True	True	True	False	True	False	True	False	False	True	True	True	False	True	False	False	False	False	True	False	False	True	True	False	True	True	False	False	True	False	True	False	False	33
viio65/V	True	True	True	True	True	False	True	True	True	True	False	True	False	True	False	False	True	True	True	False	False	True	False	False	True	True	True	False	True	False	False	True	True	True	False	False	False	False	False	True	True	True	True	False	True	False	False	False	True	False	True	False	False	True	False	False	False	True	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	33
V2/iv	True	True	True	True	False	True	True	True	True	True	True	True	False	False	True	True	True	True	False	True	True	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	True	True	False	False	True	False	False	True	False	True	True	True	False	True	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	33
viio43/V	True	True	True	True	False	False	True	True	True	True	True	True	False	True	False	True	True	True	False	False	True	True	False	False	True	True	False	False	True	False	False	False	True	True	False	False	False	False	False	True	True	True	False	False	True	False	True	False	True	False	False	True	True	False	False	False	True	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	33
V/III	True	True	False	False	True	False	True	True	True	True	True	True	False	False	False	True	True	False	False	True	True	True	True	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	True	False	True	True	True	False	True	True	True	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	True	False	False	False	32
iio64	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	True	True	False	False	True	False	True	True	True	False	True	True	False	True	False	False	False	False	False	True	False	False	False	False	True	True	True	False	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	True	False	False	False	32
vii%7/V	True	True	True	True	True	True	True	True	False	True	False	False	True	True	True	False	False	True	True	False	False	False	False	False	True	False	True	True	True	False	False	False	True	True	True	False	True	False	True	True	False	True	True	False	False	False	False	False	False	False	True	True	False	False	False	False	False	True	False	True	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	32
vii	True	True	True	True	True	False	True	True	True	True	False	True	True	True	True	False	True	False	False	True	True	False	True	True	False	True	True	False	True	True	False	True	False	False	False	False	False	False	True	False	True	True	False	False	True	False	True	False	False	False	False	True	False	False	True	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	32
Ger6	True	True	True	True	True	True	True	True	False	True	True	True	False	True	False	False	True	True	False	False	False	True	False	False	False	False	False	False	True	False	False	False	True	False	True	False	False	False	False	True	True	True	True	False	True	False	False	False	False	False	True	True	True	True	False	False	True	True	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	31
i(4)	True	False	True	True	True	False	True	False	True	True	False	True	False	False	True	True	True	False	False	True	True	True	True	True	False	True	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	True	False	True	True	True	True	True	False	True	False	False	True	True	True	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	31
vii%7	False	True	True	True	True	True	False	True	False	True	False	False	True	True	True	False	True	True	True	False	False	True	False	False	True	False	True	True	True	True	False	False	True	True	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	True	False	False	True	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	31
vi7	False	True	True	True	True	True	False	True	False	True	False	False	True	True	True	False	False	True	True	False	False	False	False	True	True	False	True	True	True	True	False	True	False	True	True	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	True	False	False	True	False	True	False	True	True	False	False	True	False	False	False	False	False	False	False	True	False	31
V43(4)	True	True	True	True	True	True	False	False	True	True	True	True	False	True	False	False	False	True	True	False	False	False	False	False	True	False	False	True	True	False	False	True	True	True	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	True	False	False	False	True	True	True	True	False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	31
V65/III	True	True	False	True	False	False	True	False	True	True	True	True	False	True	False	True	True	False	False	True	False	True	True	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	True	True	True	True	True	True	True	False	False	False	True	True	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	31
V/vi	True	True	True	True	True	True	False	True	False	True	True	True	False	True	True	False	False	True	True	False	False	False	True	False	True	False	True	True	True	True	True	False	True	True	True	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	True	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	31
bII6	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	True	False	False	True	True	False	True	False	True	True	False	False	False	False	True	False	False	False	False	False	False	False	False	True	True	False	True	True	False	True	True	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	31
ii43	True	True	True	True	True	True	False	False	False	False	False	True	False	True	False	False	False	True	True	False	True	False	False	False	True	False	True	True	True	True	False	True	False	True	True	False	True	True	False	True	False	False	True	True	False	False	False	False	False	False	False	False	False	False	True	True	True	False	True	False	False	False	True	False	False	False	True	False	False	False	False	True	False	False	False	False	31
V/v	True	True	True	True	False	False	True	False	True	True	True	True	False	True	True	True	True	True	True	True	False	False	True	True	False	True	True	False	False	True	True	False	False	False	False	False	False	False	True	False	True	False	False	False	False	True	True	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	30
IVM7	False	True	True	True	True	True	False	True	False	False	False	True	True	True	True	False	False	True	True	False	True	False	False	False	True	False	True	True	True	True	True	True	True	False	True	False	True	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	True	False	True	True	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	30
V6/iv	True	True	True	True	False	False	True	False	True	True	False	True	False	False	True	True	False	False	False	True	False	False	True	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	30
V(64)/V	True	True	True	True	True	True	False	True	False	True	False	True	False	True	True	False	True	True	True	True	False	False	False	False	True	False	True	True	True	True	True	False	True	True	True	False	False	False	True	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	30
viio2/V	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	True	False	False	True	False	False	True	True	True	False	True	False	False	False	False	True	False	False	False	False	False	True	True	True	False	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	30
iv6(2)	True	True	False	True	False	False	True	True	True	True	True	True	False	False	True	True	True	False	False	True	True	False	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	True	False	True	False	True	False	False	False	False	True	False	True	False	False	False	False	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False	30
V7/v	True	True	True	True	False	True	True	False	True	True	True	True	False	True	True	True	True	False	True	True	False	False	True	True	False	True	True	False	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False	False	True	False	True	False	False	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	30
#viio43	True	False	False	False	False	True	True	False	True	True	True	True	False	False	False	True	True	False	False	True	True	True	False	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	True	False	True	True	False	False	True	True	False	False	False	True	True	True	False	False	False	False	False	False	True	False	False	False	False	False	True	True	False	False	False	True	True	False	False	29
V65/ii	True	True	True	True	False	True	True	True	True	True	True	False	True	True	True	False	False	True	True	False	False	True	False	False	True	False	True	True	True	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	True	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	29
ii(4)	False	True	True	True	True	True	False	True	False	False	True	True	True	True	True	True	False	True	False	False	True	False	True	True	True	True	True	True	True	False	False	False	True	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	True	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	29
V/IV	False	True	True	True	True	True	False	True	True	True	False	False	False	True	True	False	True	True	True	True	False	False	True	True	False	False	True	True	True	True	True	False	True	False	True	False	False	False	True	False	False	False	False	True	False	False	False	False	False	True	False	True	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	29
V65/iv	True	True	True	True	False	True	True	False	True	True	True	True	False	False	True	True	False	True	False	True	False	True	True	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	True	False	True	True	False	False	True	False	False	False	False	True	True	True	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	29
